deviceTime_UTC,deviceTime_local,deviceTime_unix,cpm,cpmError
2020-09-04 20:30:15+0000,2020-09-04 13:30:15-0700,1599251415.57,1.5375000000000003,0.08003905296791063
2020-09-04 16:30:15+0000,2020-09-04 09:30:15-0700,1599237015.57,1.575,0.08100925873009826
2020-09-04 12:30:15+0000,2020-09-04 05:30:15-0700,1599222615.57,1.6541666666666666,0.08302024518821365
2020-09-04 08:35:15+0000,2020-09-04 01:35:15-0700,1599208515.57,1.6893617021276597,0.08478663338370755
2020-09-04 04:30:15+0000,2020-09-03 21:30:15-0700,1599193815.37,1.5833333333333333,0.08122328620674137
2020-09-04 00:30:15+0000,2020-09-03 17:30:15-0700,1599179415.37,1.6666666666666667,0.08333333333333333
2020-09-03 20:30:15+0000,2020-09-03 13:30:15-0700,1599165015.37,1.4791666666666667,0.07850601533923655
2020-09-03 16:30:15+0000,2020-09-03 09:30:15-0700,1599150615.37,1.5166666666666666,0.07949493345141213
2020-09-03 12:30:15+0000,2020-09-03 05:30:15-0700,1599136215.37,1.5375000000000003,0.08003905296791063
2020-09-03 08:35:15+0000,2020-09-03 01:35:15-0700,1599122115.37,1.5191489361702126,0.08040188777740928
2020-09-03 04:30:15+0000,2020-09-02 21:30:15-0700,1599107415.72,1.5458333333333332,0.08025566785107592
2020-09-03 00:30:15+0000,2020-09-02 17:30:15-0700,1599093015.72,1.7,0.08416254115301731
2020-09-02 20:30:15+0000,2020-09-02 13:30:15-0700,1599078615.72,1.4791666666666667,0.07850601533923655
2020-09-02 16:30:15+0000,2020-09-02 09:30:15-0700,1599064215.72,1.7333333333333334,0.08498365855987974
2020-09-02 12:30:15+0000,2020-09-02 05:30:15-0700,1599049815.72,1.6416666666666666,0.08270597183866336
2020-09-02 08:35:15+0000,2020-09-02 01:35:15-0700,1599035715.72,1.578723404255319,0.08196323525216266
2020-09-02 04:30:15+0000,2020-09-01 21:30:15-0700,1599021015.33,1.5125,0.07938566201357354
2020-09-02 00:30:15+0000,2020-09-01 17:30:15-0700,1599006615.33,1.5833333333333333,0.08122328620674137
2020-09-01 20:30:15+0000,2020-09-01 13:30:15-0700,1598992215.33,1.5875,0.0813300887330964
2020-09-01 16:30:15+0000,2020-09-01 09:30:15-0700,1598977815.33,1.6916666666666664,0.08395600699837451
2020-09-01 12:30:15+0000,2020-09-01 05:30:15-0700,1598963415.33,1.6458333333333333,0.08281086214313246
2020-09-01 08:35:15+0000,2020-09-01 01:35:15-0700,1598949315.33,1.6085106382978724,0.08273285997967482
2020-09-01 04:30:16+0000,2020-08-31 21:30:16-0700,1598934616.53,1.5125,0.07938566201357354
2020-09-01 00:30:16+0000,2020-08-31 17:30:16-0700,1598920216.53,1.525,0.0797130269571208
2020-08-31 20:30:16+0000,2020-08-31 13:30:16-0700,1598905816.53,1.6458333333333333,0.08281086214313246
2020-08-31 16:30:16+0000,2020-08-31 09:30:16-0700,1598891416.53,1.508333333333333,0.07927623996016853
2020-08-31 12:30:16+0000,2020-08-31 05:30:16-0700,1598877016.53,1.4875,0.07872684844871328
2020-08-31 08:35:16+0000,2020-08-31 01:35:16-0700,1598862916.53,1.604255319148936,0.08262335250615999
2020-08-31 04:30:15+0000,2020-08-30 21:30:15-0700,1598848215.52,1.6375,0.08260094833999587
2020-08-31 00:30:15+0000,2020-08-30 17:30:15-0700,1598833815.52,1.7375,0.08508574106942558
2020-08-30 20:30:15+0000,2020-08-30 13:30:15-0700,1598819415.52,1.6416666666666668,0.08270597183866336
2020-08-30 16:30:15+0000,2020-08-30 09:30:15-0700,1598805015.52,1.6541666666666666,0.08302024518821365
2020-08-30 12:30:15+0000,2020-08-30 05:30:15-0700,1598790615.52,1.6458333333333333,0.08281086214313246
2020-08-30 08:35:15+0000,2020-08-30 01:35:15-0700,1598776515.52,1.5608695652173916,0.0823795448760714
2020-08-30 04:35:14+0000,2020-08-29 21:35:14-0700,1598762114.67,1.5166666666666666,0.07949493345141213
2020-08-30 00:35:14+0000,2020-08-29 17:35:14-0700,1598747714.67,1.6083333333333332,0.08186201126828542
2020-08-29 20:35:14+0000,2020-08-29 13:35:14-0700,1598733314.67,1.4458333333333333,0.07761640004248815
2020-08-29 16:35:14+0000,2020-08-29 09:35:14-0700,1598718914.67,1.7083333333333333,0.0843685697138191
2020-08-29 12:35:14+0000,2020-08-29 05:35:14-0700,1598704514.67,1.8166666666666664,0.08700255424092124
2020-08-29 08:35:14+0000,2020-08-29 01:35:14-0700,1598690114.67,1.6916666666666667,0.08395600699837452
2020-08-29 04:30:15+0000,2020-08-28 21:30:15-0700,1598675415.44,1.5958333333333334,0.08154327412825385
2020-08-29 00:30:20+0000,2020-08-28 17:30:20-0700,1598661015.44,1.5458333333333334,0.08025566785107593
2020-08-28 20:30:15+0000,2020-08-28 13:30:15-0700,1598646615.44,1.5833333333333333,0.08122328620674137
2020-08-28 16:30:15+0000,2020-08-28 09:30:15-0700,1598632215.44,1.7541666666666667,0.08549285220284664
2020-08-28 12:30:15+0000,2020-08-28 05:30:15-0700,1598617815.44,1.6416666666666668,0.08270597183866336
2020-08-28 08:35:15+0000,2020-08-28 01:35:15-0700,1598603715.44,1.608695652173913,0.08363210461596236
2020-08-28 04:35:14+0000,2020-08-27 21:35:14-0700,1598589314.43,1.7083333333333333,0.0843685697138191
